,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_blue_side_towers_taken,total_blue_side_inhibitors_destroyed,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_red_side_towers_taken,total_red_side_inhibitors_destroyed,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
0,1934,False,False,True,935,31,14,45,65839,60813,26,80,204,11,6,2,2,1,0,1057,14,31,24,61291,58950,25,83,207,3,0,2,4,1,0
0,1662,True,False,True,818,40,15,75,64034,57575,44,91,240,6,0,3,0,1,1,851,15,40,27,52347,49663,27,89,173,5,0,1,6,0,0
0,1863,False,False,True,822,30,35,69,62144,53183,21,88,191,8,1,1,6,1,0,785,35,30,67,59536,55675,26,66,194,5,1,3,0,0,1
0,1364,True,False,True,702,30,11,47,53285,47225,11,50,110,6,1,1,0,1,1,655,11,30,18,37678,35835,13,49,112,0,0,2,3,0,0
0,1853,False,False,False,940,21,30,38,56416,54375,22,66,163,4,0,1,3,0,1,1016,30,21,53,69169,58550,28,72,201,9,2,4,3,2,0
0,2066,False,False,False,1098,27,36,57,69403,66375,25,63,173,6,0,2,6,1,0,1121,36,28,78,74993,67875,23,69,191,9,2,3,0,1,1
0,1383,False,False,True,818,28,10,39,52532,45150,11,58,128,10,2,3,3,0,1,723,10,28,10,38304,36450,15,44,110,1,0,0,3,0,0
0,1494,False,False,True,753,35,19,53,57120,51200,26,72,171,10,1,2,3,1,1,717,19,36,32,45599,42700,21,75,148,2,0,1,0,0,0
0,1648,True,False,True,844,33,30,53,59541,52655,17,65,148,5,0,4,1,1,1,792,30,33,63,52817,49417,20,70,157,2,0,0,5,0,0
0,1623,False,False,False,760,22,27,35,50587,49000,27,71,153,5,0,1,3,0,1,869,27,22,48,59403,54033,29,95,208,11,3,3,3,1,0
0,914,True,False,False,365,6,20,5,22656,19900,7,30,59,0,0,0,4,0,0,514,20,6,23,34358,27108,7,30,67,4,0,1,2,0,1
0,1928,False,False,True,941,35,32,69,70238,64620,37,82,199,7,1,3,2,1,0,1011,32,35,49,69256,67180,28,90,209,7,1,1,4,0,1
0,1377,True,False,True,735,34,23,49,56878,51535,20,77,155,8,1,2,6,1,1,694,23,34,37,45134,40250,35,46,116,2,0,0,0,0,0
