,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,385,31731,52,12,23,1,1,1,0,402,39732,23,12,33,1,0,5,0,0
0,464,37091,31,18,11,0,0,3,0,444,33425,11,18,57,2,0,1,0,0
0,461,40104,67,21,13,0,1,4,0,412,33367,13,21,55,2,0,2,0,0
0,424,34678,27,14,25,1,0,1,0,427,40227,25,14,45,1,1,4,0,0
0,371,34944,58,17,12,2,0,2,0,375,30156,12,17,29,0,0,1,0,1
0,359,38417,26,19,25,2,1,5,0,380,38716,25,19,29,0,0,2,0,1
0,381,32666,31,13,19,1,0,2,0,375,35996,19,13,34,1,2,3,0,0
0,401,36733,37,17,18,0,1,2,0,448,33751,18,17,44,2,0,1,0,0
0,397,35162,39,17,16,1,1,2,0,485,38022,16,17,67,2,0,4,0,1
0,430,33936,29,14,14,1,1,1,0,415,33205,14,14,57,1,0,1,0,0
0,440,33746,33,15,15,1,0,0,0,447,37463,15,15,39,2,2,4,0,0
0,482,35382,35,12,17,1,1,1,0,476,35916,17,12,69,2,0,1,0,0
0,459,35557,39,13,10,1,0,3,0,441,32009,10,13,38,1,1,2,0,1
0,448,29808,28,4,19,1,0,1,0,494,36505,19,4,26,1,1,3,0,1
0,404,35624,45,20,10,2,1,2,0,413,30550,10,20,27,0,0,2,0,1
0,482,40209,165,21,13,2,2,2,0,364,32536,13,21,54,0,0,3,0,1
0,500,35999,38,13,16,1,1,2,0,455,34147,16,13,59,1,0,2,0,1
0,410,35748,29,21,4,2,1,2,0,436,28748,4,21,34,0,0,1,0,1
0,398,33718,40,12,18,2,0,1,0,477,38470,18,12,56,0,1,5,0,1
0,421,35590,191,19,18,2,1,1,0,383,35505,18,19,115,0,0,2,0,1
0,418,33266,40,10,22,2,0,1,0,530,42519,22,10,32,0,1,5,0,0
0,385,37626,305,22,26,2,0,0,0,454,40080,26,22,40,0,2,4,0,0
0,471,33699,32,10,7,1,1,1,0,431,30438,7,10,39,1,0,1,0,1
0,419,35081,383,14,16,3,1,2,0,421,34190,16,14,34,0,0,2,0,1
0,425,31623,37,12,13,1,0,1,0,427,31980,13,12,39,1,0,1,0,1
0,360,36166,110,20,22,1,1,1,0,320,35837,22,20,95,1,0,2,0,1
0,502,34162,56,12,16,0,0,2,0,509,35950,16,12,35,3,0,1,0,0
