,total_blue_side_minions,total_blue_side_gold_earned,total_blue_side_wards_placed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_dragons_killed,total_blue_side_riftHeralds_killed,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_red_side_minions,total_red_side_gold_earned,total_red_side_kills,total_red_side_deaths,total_red_side_wards_placed,total_red_side_dragons_killed,total_red_side_riftHeralds_killed,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,blue_side_won
0,456,34907,39,13,21,1,1,1,0,443,37012,21,13,49,1,0,2,0,0
0,463,35064,31,11,25,1,1,2,0,452,40410,25,11,42,2,0,5,0,0
0,483,42494,51,25,23,1,1,3,0,473,39061,23,25,42,2,0,4,0,1
0,457,35526,39,17,25,0,0,0,0,522,44199,25,17,41,2,1,6,0,0
0,480,40213,94,22,12,2,1,3,0,490,36197,12,22,39,1,0,3,0,1
0,476,36548,91,19,10,2,0,2,0,435,31977,10,19,43,0,1,1,0,1
0,481,36860,72,16,27,2,0,2,0,478,40338,27,16,49,0,0,3,0,0
0,474,38080,33,16,20,0,1,2,0,497,38227,20,16,53,2,0,5,0,0
0,515,34140,45,6,9,0,1,2,0,540,34303,9,6,68,2,0,4,0,0
0,440,33575,66,13,20,0,0,1,0,434,37090,20,13,47,2,1,2,0,0
0,424,32941,44,11,26,2,0,0,0,506,42459,26,11,85,0,0,6,0,0
0,463,39621,66,23,16,1,1,3,0,460,36586,16,23,34,2,0,4,0,1
0,427,40967,66,25,11,2,1,4,0,471,34143,11,25,47,0,0,3,0,1
0,489,35380,37,11,20,1,1,2,0,526,39098,20,11,54,2,0,3,0,0
0,450,34853,49,15,15,2,1,0,0,454,36829,15,15,33,0,0,3,0,1
0,465,37555,47,17,14,1,0,2,0,413,37041,14,17,38,2,0,4,0,0
0,499,37145,90,18,14,0,1,2,0,516,34722,14,18,93,2,0,2,0,1
0,408,40644,332,26,40,1,0,1,0,461,47606,40,26,46,2,1,4,0,0
0,488,39604,49,16,10,2,1,3,0,497,33870,10,16,83,0,0,3,0,0
0,469,37588,64,17,16,2,1,2,0,456,35898,16,17,50,0,0,3,0,0
0,441,40144,39,26,17,1,0,2,0,460,38168,17,26,117,1,1,3,0,1
0,480,44408,42,28,13,2,1,5,0,460,34329,13,28,41,1,0,0,0,1
0,493,45317,44,31,12,1,1,7,1,438,35815,12,31,46,1,0,4,0,1
0,529,35691,43,13,19,1,1,1,0,503,38664,19,13,51,2,0,5,0,0
0,423,35073,49,13,19,0,0,1,0,510,36670,19,13,60,3,0,3,0,0
0,518,36156,47,15,18,0,0,1,0,495,38672,18,15,45,3,0,3,0,0
0,521,35472,90,10,9,1,1,3,0,500,35241,9,10,54,1,0,2,0,1
0,434,31891,53,10,18,2,0,1,0,490,38861,18,10,40,0,1,4,0,0
0,493,33335,33,11,14,2,0,0,0,554,38181,14,11,39,1,1,5,0,0
0,494,34770,46,12,15,0,1,0,0,536,37099,15,12,35,3,0,5,0,0
0,506,40453,34,20,7,3,1,5,0,466,30632,7,20,43,0,0,1,0,1
0,397,36215,43,21,15,1,1,1,0,495,37828,15,21,33,0,0,4,0,0
0,491,33015,39,10,16,1,1,0,0,494,36625,16,10,116,2,0,3,0,0
0,421,35925,43,15,20,1,0,0,0,511,37805,20,15,39,2,1,5,0,0
0,407,30536,41,6,31,0,0,2,0,462,43417,31,6,35,3,1,7,0,0
0,477,36471,50,13,16,0,0,2,0,490,36511,16,13,52,3,1,2,0,0
0,457,42959,38,33,17,2,1,3,0,462,36679,17,33,48,0,0,1,0,1
0,456,35762,42,15,20,1,0,2,0,474,39354,20,15,46,2,1,4,0,1
0,449,37888,51,19,15,0,1,2,0,464,34548,15,19,31,2,0,3,0,1
0,440,35014,41,15,22,0,0,1,0,505,43194,22,15,32,2,1,6,0,0
0,419,40392,38,27,32,0,0,2,0,442,42271,32,27,42,3,1,4,0,0
0,491,35770,47,12,9,0,1,2,0,543,34046,9,12,40,3,0,2,0,1
0,460,35830,37,16,15,2,1,1,0,503,38039,15,16,36,0,0,3,0,0
0,565,40923,41,15,4,3,1,6,0,450,27525,4,15,41,0,0,0,0,1
0,437,35825,44,14,13,2,1,2,0,465,34339,13,14,47,0,0,2,0,0
0,442,36207,35,15,25,1,0,2,0,450,42056,25,15,38,1,1,5,0,0
0,481,32631,54,9,14,0,1,0,0,467,34331,14,9,37,2,0,2,0,0
0,523,41609,197,21,8,2,1,4,0,505,31795,8,21,39,1,0,1,0,1
0,476,44934,137,32,16,2,1,4,0,423,34531,16,32,39,0,0,1,0,1
0,428,38511,32,23,23,0,1,1,0,477,38219,23,23,39,2,0,1,0,0
0,495,41210,34,20,19,1,1,3,0,476,39230,19,20,40,1,0,3,0,0
0,515,32946,42,8,11,0,0,1,0,512,34191,11,8,44,3,1,1,0,0
0,462,34033,44,9,19,0,1,2,0,507,38523,19,9,41,3,0,3,0,0
0,490,35938,56,12,15,1,0,1,0,454,35958,15,12,35,2,1,3,0,0
0,487,34295,33,11,16,0,0,1,0,467,37459,16,11,41,3,1,4,0,1
0,531,37105,37,17,16,0,0,1,0,504,37689,16,17,48,1,1,4,0,1
0,500,35149,40,12,15,1,1,1,0,515,35740,15,12,44,1,0,3,0,0
0,498,37386,61,17,15,0,1,3,0,433,35434,15,17,39,2,0,4,0,0
0,494,36307,79,14,11,2,0,2,0,498,34425,11,14,40,1,1,2,0,0
0,489,37178,33,16,18,0,0,1,0,474,37626,18,16,50,2,1,5,0,0
0,448,34969,35,14,21,0,1,2,0,487,38712,21,14,45,2,0,3,0,0
0,484,35969,89,16,15,2,0,2,0,478,36155,15,16,64,0,1,2,0,0
0,498,39322,41,18,9,2,1,5,1,464,33153,9,18,49,1,0,4,0,1
0,406,33946,28,11,19,1,0,1,0,520,37915,19,11,133,0,1,3,0,1
0,465,37466,52,19,19,0,0,2,0,401,36045,19,19,51,2,0,1,0,1
0,435,36165,37,19,15,0,1,2,0,461,37135,15,19,47,2,0,3,0,0
0,459,37078,43,15,15,2,1,2,0,458,34812,15,15,36,0,0,3,0,0
0,470,36381,51,19,16,0,0,2,0,466,36674,16,19,37,2,1,3,0,0
0,425,35694,42,16,20,1,0,0,0,474,37625,20,16,37,0,1,4,0,0
0,483,35796,35,11,12,0,1,1,0,470,34853,12,11,41,2,0,4,0,1
0,421,38616,45,23,19,1,1,2,0,415,37522,19,23,104,1,0,2,0,0
0,452,37251,41,15,14,2,1,3,0,518,37942,14,15,46,0,0,5,0,0
0,455,37660,39,19,17,0,1,2,0,476,38070,17,19,107,2,0,2,0,0
0,530,35670,45,14,9,2,1,0,0,474,32406,9,14,140,0,0,1,0,1
0,456,40114,41,25,18,0,1,3,0,436,36675,18,25,39,2,0,1,0,0
