,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
6672,1687,False,False,False,808,15,30,20,47242,43150,11,64,116,1,0,0,1,0,0,876,30,15,18,57189,52435,13,68,157,11,3,4,5,1,1
6673,1762,False,False,False,817,15,35,25,49567,47010,9,54,124,3,0,1,5,0,1,854,35,15,68,64537,57143,11,51,140,11,2,3,1,2,0
6674,1936,False,False,True,894,18,21,27,58125,52633,20,66,170,9,1,4,0,0,1,805,21,18,41,56970,50950,10,69,133,4,0,1,6,0,0
6675,1413,False,False,False,548,18,35,30,40266,39058,3,37,65,1,0,0,0,0,1,728,35,18,41,51081,41925,4,36,87,9,1,3,3,0,0
6676,2122,False,False,False,924,42,41,54,69366,64823,17,73,196,4,0,2,2,1,1,1030,41,42,50,74628,69758,29,66,184,10,2,3,4,0,0
6677,1288,False,False,True,677,14,19,28,44032,36375,7,38,88,8,1,0,5,0,0,582,19,14,37,38630,34850,9,42,87,3,0,3,1,0,1
6678,2310,False,False,False,1093,30,40,42,72729,67008,25,105,248,8,1,2,4,1,1,1119,40,30,49,76775,68100,22,58,129,9,1,3,2,1,0
6679,1225,True,False,False,507,8,21,7,30337,27800,6,24,53,1,0,0,4,0,0,685,21,8,23,42053,35525,2,41,80,5,0,2,2,0,1
6680,2020,False,False,False,939,48,43,65,75841,73150,18,82,191,7,1,5,4,0,1,924,43,48,64,75991,70308,16,68,148,9,2,0,2,2,0
6681,1435,False,False,True,720,35,20,39,54954,48035,6,50,108,10,2,3,3,1,1,535,20,35,30,41337,38233,8,50,100,1,0,0,3,0,0
6682,2127,False,False,False,965,39,49,46,70385,68718,19,96,225,8,3,3,3,0,1,936,49,39,82,77881,72550,20,69,177,8,1,2,3,2,0
6683,916,True,False,True,493,21,7,19,32807,30630,8,27,69,2,0,0,6,0,0,282,7,21,10,21916,19375,4,28,53,0,0,2,0,0,0
6684,1881,False,False,True,889,34,29,67,66476,57508,24,89,187,9,1,1,6,1,1,978,29,34,47,64349,63475,33,68,206,8,2,2,0,1,0
6685,1859,False,False,True,891,37,28,41,64921,59663,26,68,183,10,3,4,5,1,1,877,28,37,50,58029,55200,21,79,193,2,0,0,1,0,0
6686,2166,False,False,True,1061,41,35,45,76450,68900,13,75,174,9,1,2,6,2,0,1025,35,41,36,70575,64583,12,60,138,9,2,2,0,0,1
6687,1515,False,False,True,691,45,21,55,59539,51008,9,50,113,10,2,4,2,0,0,678,21,45,31,48048,44408,14,51,126,3,0,0,4,0,1
6688,1670,False,False,True,708,48,32,71,64525,57925,21,67,155,9,3,4,3,0,0,664,31,48,36,53732,50275,15,50,108,1,0,0,3,0,0
6689,1600,False,False,False,687,26,33,33,49215,45205,9,55,115,1,0,0,0,0,0,781,33,26,37,59172,53897,16,53,142,11,3,4,3,1,1
6690,1775,False,False,True,745,44,26,50,61885,56362,14,56,128,8,1,3,6,1,1,716,26,44,20,52464,52233,12,58,143,5,0,2,0,0,0
6691,2448,False,False,False,1081,40,55,54,79707,82175,22,100,225,8,3,1,0,0,0,1048,55,40,86,87111,77350,20,95,234,8,1,5,3,2,1
6692,1991,False,False,False,1005,24,29,37,64085,63620,11,74,165,4,0,1,6,1,1,999,28,24,46,67384,66415,13,48,137,10,2,4,0,1,0
6693,1741,False,False,False,915,30,38,51,61128,58075,20,57,137,2,0,1,3,0,1,867,38,30,56,66900,61288,20,49,144,11,4,3,3,2,0
6694,1562,False,False,False,690,21,39,26,47111,45350,18,57,126,1,0,2,0,0,0,800,39,21,43,61297,55150,16,55,132,10,2,2,6,1,0
6695,1717,False,False,True,815,36,34,52,62895,56605,13,54,138,9,2,1,3,1,1,781,34,36,32,55448,51385,6,54,101,4,0,3,3,0,0
6696,1942,False,False,False,779,25,38,45,57301,54550,17,61,153,0,0,2,0,0,0,864,38,26,48,69617,63985,19,59,166,11,1,3,3,2,1
6697,1450,False,False,False,656,27,34,22,46455,45875,6,39,75,1,0,0,1,0,0,679,34,27,52,55933,48800,8,46,112,11,3,3,5,1,1
6698,1495,False,False,True,665,34,12,41,54403,49533,8,41,97,10,2,3,4,1,0,603,12,34,16,38411,35760,7,32,78,2,0,0,2,0,1
6699,1607,True,False,False,672,25,36,28,48388,45800,12,47,126,3,0,1,0,0,0,799,35,25,30,58098,51008,17,36,107,11,3,2,3,0,1
6700,2057,False,False,False,1007,36,34,52,68744,65950,22,97,205,5,1,4,3,0,0,1052,34,36,74,74793,67833,36,83,248,11,3,1,3,3,1
6701,1290,True,False,False,629,8,25,11,34963,34400,10,37,83,1,0,1,0,0,0,673,25,8,41,47530,40700,6,44,104,8,1,2,6,1,1
6702,1256,False,False,True,623,33,13,42,46899,40150,15,40,88,9,1,2,1,0,1,545,13,33,13,33741,30800,8,46,105,1,0,1,3,0,0
6703,1871,False,False,True,835,48,26,55,68428,61460,14,40,121,11,4,4,0,1,1,745,26,48,36,56345,52825,3,70,123,2,0,1,6,0,0
6704,2203,False,False,False,939,42,40,68,74189,68558,12,75,144,6,1,3,4,0,0,928,40,42,38,75379,71408,24,75,165,11,4,3,2,2,1
6705,2002,False,False,True,805,41,39,59,69297,63575,14,55,138,8,2,5,2,0,1,805,38,41,55,64052,60750,16,59,143,5,0,0,1,1,0
6706,1501,True,False,False,656,11,37,6,39840,37200,11,34,78,2,0,0,3,0,1,728,37,11,53,53043,44583,12,34,98,8,2,4,3,0,0
6707,1569,False,False,False,676,11,46,14,44996,41450,15,47,111,4,0,0,0,0,0,742,46,11,61,58951,50575,14,47,143,9,2,4,6,1,0
6708,2074,False,False,True,1031,43,45,59,77959,73625,24,62,155,11,3,2,2,1,0,948,45,43,55,72017,69580,13,72,164,9,1,3,3,0,1
6709,2101,False,False,False,1015,33,36,56,66995,63630,27,76,178,5,0,2,1,0,0,983,36,33,64,74098,68450,22,74,193,9,2,2,2,2,1
