,game_duration,game_ended_in_surrender,game_ended_in_early_surrender,blue_side_won,total_blue_side_minions_killed,total_blue_side_kills,total_blue_side_deaths,total_blue_side_assists,total_blue_side_gold_earned,total_blue_side_gold_spent,total_blue_side_wards_killed,total_blue_side_wards_placed,total_blue_side_vision_score,total_towers_destroyed_by_blue,total_inhibitors_destroyed_by_blue,total_blue_side_dragons_killed,total_blue_side_horde,total_blue_side_baron,total_blue_side_riftHerald,total_red_side_minions_killed,total_red_side_kills,total_red_side_deaths,total_red_side_assists,total_red_side_gold_earned,total_red_side_gold_spent,total_red_side_ward_takedowns,total_red_side_wards_placed,total_red_side_vision_score,total_towers_destroyed_by_red,total_inhibitors_destroyed_by_red,total_red_side_dragons_killed,total_red_side_horde,total_red_side_baron,total_red_side_riftHerald
2979,1786,False,False,False,957,20,21,29,59363,56910,29,99,212,5,0,1,5,2,0,1022,21,20,37,59145,51135,33,73,188,9,1,4,1,0,1
2980,1804,False,False,False,1028,23,28,30,58889,54450,24,69,187,5,0,2,6,0,1,923,28,23,58,65678,59825,23,75,179,9,1,2,0,1,0
2981,1838,True,False,False,909,19,33,35,55359,52325,46,88,219,3,0,0,3,0,0,879,32,19,63,61589,54850,29,88,228,7,1,4,3,1,1
2982,1675,False,False,True,789,36,25,60,61349,59333,21,61,154,10,2,3,3,1,1,787,25,36,41,54060,47633,17,57,130,1,0,1,0,1,0
2983,1413,False,False,False,659,16,24,29,41189,39075,13,40,94,2,0,0,1,0,0,689,24,16,39,53625,45425,15,73,160,11,2,3,2,1,1
2984,2811,False,False,False,1468,36,62,50,95097,89330,65,114,366,9,2,4,3,0,0,1277,62,36,104,104077,100630,29,162,342,10,2,2,0,4,1
2985,1361,True,False,True,669,17,9,31,44090,36250,8,55,120,8,2,1,4,0,1,749,9,17,11,39109,37150,9,33,90,3,0,1,2,0,0
2986,1771,False,False,False,886,34,36,57,61505,60275,25,94,231,4,0,2,2,0,0,918,36,34,52,67347,60450,31,59,152,8,1,2,4,2,1
2987,1335,True,False,True,690,18,8,37,38945,32325,12,54,118,1,0,1,0,0,0,722,8,18,9,38891,36383,14,39,110,4,0,2,5,0,1
2988,1614,False,False,False,811,11,27,18,44788,43375,17,61,148,1,0,0,3,0,0,880,27,11,56,58359,52112,26,65,151,10,1,4,3,1,1
2989,1745,False,False,False,882,16,28,29,54460,52400,27,81,187,3,0,1,3,1,0,995,28,16,39,62539,57641,31,71,200,10,1,3,0,1,1
2990,1578,True,False,True,859,29,23,52,58193,52525,26,79,178,6,0,2,5,1,0,759,23,29,46,50035,46645,33,68,166,4,0,1,1,0,1
2991,1602,False,False,True,869,29,17,54,60225,55850,20,74,170,9,1,0,0,1,1,783,17,30,28,48490,46550,28,83,179,3,0,3,6,0,0
2992,1327,True,False,False,653,12,33,19,39097,35675,9,32,83,1,0,0,5,0,0,743,33,12,43,51722,45800,5,63,121,9,2,3,1,0,1
2993,1313,False,False,False,538,14,29,23,36323,34408,11,43,94,0,0,1,1,0,0,723,29,15,54,52443,43550,12,48,110,10,1,2,5,1,1
2994,2094,False,False,False,1001,32,31,56,68176,65875,30,101,233,6,0,2,3,0,0,1029,31,32,53,71800,67685,24,74,195,9,1,3,0,2,1
2995,1276,True,False,False,581,19,33,14,40265,36750,12,45,96,2,0,1,5,0,1,646,33,19,48,46912,42190,13,44,110,4,0,1,1,1,0
2996,1776,False,False,True,854,46,26,67,69707,65455,18,90,186,9,1,2,6,2,1,791,26,46,45,56586,55600,30,71,190,4,0,2,0,0,0
2997,1107,True,False,False,588,11,14,11,32403,29900,11,35,82,1,0,0,6,0,0,584,14,11,20,35759,29350,11,32,78,3,0,2,0,0,0
2998,1848,False,False,False,1001,27,48,32,61926,58650,8,63,147,3,0,1,3,1,0,928,48,27,73,71652,65445,13,50,147,10,3,4,3,1,1
2999,1576,False,False,False,806,31,45,49,54156,50125,13,80,142,1,0,0,2,0,0,821,45,31,62,65655,59110,33,57,176,11,3,3,4,1,1
3000,1474,False,False,False,711,30,34,58,53832,52075,16,63,118,5,0,2,3,0,1,758,34,30,55,59032,54000,20,79,169,10,2,1,3,1,0
3001,1996,False,False,False,1015,25,41,40,67627,65400,34,90,245,6,1,3,5,2,1,1003,41,25,76,70863,68950,31,87,199,8,1,2,1,0,0
3002,2463,False,False,True,1175,31,23,53,80490,72683,72,80,270,8,3,2,0,2,0,1353,23,31,36,80026,74840,25,169,301,7,1,4,3,0,1
3003,1665,False,False,True,844,31,20,57,61008,53150,21,80,170,9,1,4,1,2,1,798,20,31,23,49497,51113,29,72,172,3,0,0,5,0,0
3004,1169,False,False,False,540,19,33,30,38739,34312,18,47,102,0,0,2,0,0,0,613,33,19,29,47266,41658,8,50,92,10,2,1,6,0,1
3005,951,True,False,True,502,15,4,17,31812,26505,13,45,94,2,0,2,6,0,1,413,4,15,6,23960,22150,17,30,72,0,0,0,0,0,0
3006,1420,True,False,True,702,32,15,50,53841,47500,14,45,110,7,0,1,3,1,1,629,15,32,18,41329,38350,10,49,111,2,0,2,0,0,0
3007,1110,True,False,True,588,25,6,42,39045,37612,10,38,84,3,0,2,3,0,1,550,6,25,8,29495,27100,8,38,86,0,0,0,0,0,0
3008,1427,False,False,False,668,19,32,27,43351,41575,10,44,96,2,0,0,1,0,1,846,32,19,40,57470,49508,14,52,140,10,2,2,5,1,0
3009,1672,False,False,False,748,27,45,35,52541,51075,22,57,143,3,0,3,3,0,0,781,45,27,67,65565,56333,14,61,162,9,2,1,3,1,1
3010,1366,False,False,True,754,30,7,43,52733,44825,12,63,136,10,2,2,5,1,1,705,7,30,7,38422,34408,20,39,102,2,0,1,0,0,0
3011,2071,False,False,False,1010,28,40,30,67509,67665,43,75,208,10,3,1,4,0,1,1043,40,28,61,79077,71075,38,139,278,8,1,4,2,2,0
3012,1608,False,False,True,805,37,13,63,59145,51375,14,90,180,9,2,2,6,1,1,801,13,38,15,48153,43225,24,52,142,3,0,1,0,0,0
3013,2100,False,False,False,910,39,52,76,72585,69683,18,88,199,10,3,2,3,1,1,1079,52,39,71,80360,70962,21,69,184,8,1,3,3,1,0
3014,1480,False,False,False,719,20,40,15,47482,44383,11,65,129,5,1,0,3,0,0,778,40,20,51,59137,54825,18,65,156,9,1,3,3,1,1
3015,1836,False,False,True,981,17,25,29,62250,55700,30,102,217,9,4,3,5,2,1,1065,25,17,41,58768,56495,37,73,162,3,0,1,1,0,0
3016,1894,True,False,True,992,37,16,77,67555,62000,41,104,230,8,1,4,2,1,0,997,16,37,25,58572,56810,48,76,193,4,0,1,1,1,1
3017,1790,False,False,False,818,32,39,56,57455,54025,26,78,206,2,0,0,0,0,0,775,39,32,47,64313,58950,28,69,203,10,2,4,6,1,1
3018,1620,True,False,False,787,11,27,24,44017,42235,23,56,132,1,0,0,5,0,0,836,26,11,42,57272,49650,28,63,173,11,3,3,0,1,1
3019,1419,False,False,False,663,15,35,24,42974,40825,17,43,99,2,0,0,3,0,0,734,35,16,52,54772,50510,17,48,136,9,1,3,3,1,1
3020,1160,True,False,True,666,25,14,40,44391,40960,12,54,123,5,0,1,1,0,1,562,14,25,17,34563,30050,16,37,88,1,0,1,1,0,0
3021,2138,False,False,True,993,43,45,74,78430,71475,14,85,180,10,2,3,6,1,1,903,45,43,82,74441,69058,32,59,196,7,0,2,0,1,0
3022,1886,False,False,False,798,30,28,50,58368,57080,23,80,180,4,1,2,0,0,0,939,28,30,54,64526,57175,28,89,228,8,1,2,0,1,1
3023,1340,True,False,False,593,16,43,13,41367,38908,12,41,93,3,0,0,0,0,0,713,43,16,45,53908,48308,6,46,95,6,0,3,3,0,0
3024,1854,False,False,True,931,32,25,66,67968,60000,32,70,187,10,2,3,3,2,1,943,25,32,48,60834,58475,22,81,168,6,0,1,0,0,0
3025,1017,True,False,False,458,15,28,21,31796,30070,7,32,73,1,0,0,5,0,0,471,28,15,54,40320,34025,9,29,66,5,0,2,1,0,1
3026,1210,True,False,True,678,33,11,32,47258,44375,8,43,94,5,0,2,3,0,1,538,11,33,11,33802,30047,8,37,90,0,0,0,3,0,0
3027,1483,False,False,False,680,18,32,28,43892,41400,22,48,128,3,0,0,3,0,0,810,32,18,50,56525,48150,10,66,131,9,2,3,3,1,1
3028,1900,False,False,True,813,37,41,86,70467,63975,33,77,195,9,1,3,1,2,1,743,41,38,73,61026,60110,25,89,206,4,0,1,5,0,0
3029,1550,False,False,True,806,36,27,51,59131,52970,14,52,118,9,1,2,2,0,1,672,26,36,46,52180,50875,12,59,140,3,0,2,1,1,0
3030,918,True,False,True,447,29,11,35,37130,30175,6,31,66,3,0,1,3,0,0,414,11,29,16,26005,25000,4,20,40,0,0,1,0,0,0
3031,1353,True,False,True,711,26,15,46,48257,44473,13,45,102,5,0,0,2,0,1,692,15,26,26,41143,36675,12,50,110,2,0,2,0,0,0
3032,2611,False,False,True,1240,52,53,86,90995,96655,37,100,264,9,2,4,3,0,0,1310,53,52,84,94791,94425,22,105,274,4,0,2,1,2,0
3033,2154,False,False,False,1010,25,36,50,66942,65525,39,78,225,6,1,3,0,0,0,986,35,25,81,73671,63050,25,91,202,8,1,3,0,2,1
3034,1679,False,False,False,908,17,21,20,49967,46600,45,61,178,2,0,3,5,0,1,988,21,17,37,59346,51841,25,108,203,9,1,1,1,1,0
3035,1428,True,False,False,781,9,25,9,41158,39195,12,44,101,4,0,1,6,0,0,752,25,9,42,50032,46010,17,56,144,6,1,3,0,1,1
3036,1506,True,False,True,791,26,22,43,50650,46750,17,53,135,2,0,1,4,0,0,734,22,26,26,47704,45050,14,71,138,3,0,2,2,0,0
3037,2098,False,False,False,1042,33,36,62,69606,68905,25,90,225,7,2,2,6,0,0,1043,36,33,61,78028,78025,27,77,190,9,1,3,0,2,1
3038,1624,False,False,False,780,14,22,24,46985,49457,15,64,121,3,0,1,3,0,1,878,22,14,34,57362,52750,29,58,167,11,3,3,0,1,0
